Listing Name,Price,Room Type,Reviews,Location
A Breathtaking Brooklyn Experience!,115,Private room,157 reviews,"Fort Greene, Brooklyn"
1 Blk to Subway + Prospect Park B,65,Private room,31 reviews,"Flatbush, Brooklyn"
"Williamsburg room, private entrance",116,Private room,34 reviews,"Williamsburg, Brooklyn"
Large sunny room across from park,78,Private room,3 reviews,"Bushwick, Brooklyn"
Cute + Cozy: Park Slope One Bedroom,168,Entire home/apt,3 reviews,"Park Slope, Brooklyn"
"Bedford Loft, Williamsburg Prime",257,Entire home/apt,51 reviews,"Williamsburg, Brooklyn"
2 Bedroom Apartment,233,Entire home/apt,110 reviews,"Fort Greene, Brooklyn"
Your OWN Private Garden Apartment,155,Entire home/apt,14 reviews,"Clinton Hill, Brooklyn"
Boerum Hill Apartment,174,Entire home/apt,16 reviews,"Boerum Hill, Brooklyn"
"Williamsburg Studio, Shared Kitchen",140,Entire home/apt,34 reviews,"Williamsburg, Brooklyn"
Large Master Bedroom - Williamsburg,97,Private room,63 reviews,"Williamsburg, Brooklyn"
Private rm in cozy WILLIAMSBURG apt,141,Private room,23 reviews,"Williamsburg, Brooklyn"
Room in Brownstone by Prospect Park,174,Private room,43 reviews,"Park Slope, Brooklyn"
"1Bedroom, Seconds from L train",105,Private room,23 reviews,"Bushwick, Brooklyn"
Brooklyn Escape,103,Private room,1 review,"Park Slope, Brooklyn"
NICE ROOM #3 ~ AWESOME LOCATION!!,141,Private room,15 reviews,"Williamsburg, Brooklyn"
Sunny Suite Sleeps Up To Six,194,Entire home/apt,7 reviews,"Flatbush, Brooklyn"
Sunny Private Room in Williamsburg,97,Private room,46 reviews,"Williamsburg, Brooklyn"
Quintessential Brooklyn...!!,140,Entire home/apt,11 reviews,"Boerum Hill, Brooklyn"
"Landmark Cottage, Brownstone block",258,Entire home/apt,16 reviews,"Crown Heights, Brooklyn"
Master Bedroom in Hip Williamsburg,84,Private room,1 review,"Williamsburg, Brooklyn"
Prime Williamsburg Loft off Bedford,154,Private room,50 reviews,"Williamsburg, Brooklyn"
Brooklyn Home Base,110,Entire home/apt,12 reviews,"Bedford-Stuyvesant, Brooklyn"
Palatial Brownstone w Backyard,355,Entire home/apt,13 reviews,"Bedford-Stuyvesant, Brooklyn"
Luxury Apt. in Prime Williamsburg,207,Entire home/apt,8 reviews,"Williamsburg, Brooklyn"
"""The Country"" & the NYC Waterfront!",207,Entire home/apt,83 reviews,"Williamsburg, Brooklyn"
Four bedroom brownstone with 2 bath,291,Entire home/apt,110 reviews,"Crown Heights, Brooklyn"
NYC gorgeous private room and bath,93,Private room,74 reviews,"Bedford-Stuyvesant, Brooklyn"
South Slope Private Basement Studio,97,Private room,13 reviews,"Park Slope, Brooklyn"
Charming Brooklyn Garden House,355,Entire home/apt,25 reviews,"Park Slope, Brooklyn"
Sunny & modern  1bd/1ba home,181,Entire home/apt,11 reviews,"Clinton Hill, Brooklyn"
Beautiful room in gorgeous apt.,258,Private room,0 reviews,"Cobble Hill, Brooklyn"
Designer loft in hip Williamsburg,220,Entire home/apt,16 reviews,"Williamsburg, Brooklyn"
Sunny private room in artists loft,107,Private room,22 reviews,"Bedford-Stuyvesant, Brooklyn"
Brooklyn Bedroom 8 Min From City,45,Private room,7 reviews,"Williamsburg, Brooklyn"
Spacious Suite in Brownstone,110,Entire home/apt,7 reviews,"Bedford-Stuyvesant, Brooklyn"
Beautiful Private Room by the park,88,Private room,6 reviews,"Williamsburg, Brooklyn"
BUDGET ROOM 15 MINUTES TO MANHATTAN,76,Private room,7 reviews,"Bushwick, Brooklyn"
"Beautiful 4 BR,  #1, BEST LOCATION",119,Private room,110 reviews,"Park Slope, Brooklyn"
